Index,length_sum,length_mean,travel_time,count,max
9189,50938.0244,131.6228021,15.5879795,291,0.342007087
9190,224337.5093,137.4617091,15.72683265,636,0.332781086
9191,355818.5407,100.5137121,11.7891669,1397,0.318614246
9192,113345.9943,339.3592643,40.72311172,142,0.391743193
9193,35703.40107,262.5250079,31.50300094,110,0.354295232
9194,172421.4896,103.1229005,11.79234682,630,0.362764402
9195,331532.196,65.93719093,7.509285778,1978,0.473164348
9196,109382.5726,555.2414854,62.51925713,169,0.294740534
9197,227126.5471,668.0192562,80.16231074,147,0.282069952
9198,367424.3583,268.9783004,31.89699052,583,0.367461411
9199,102618.382,164.1894112,19.39501343,518,0.396912692
9200,147379.7677,200.7898743,23.63863314,586,0.468281103
9201,182909.8573,126.3189622,14.68089541,619,0.332889192
9202,41253.61672,124.2578817,14.5185573,123,0.365915088
9203,69748.24077,464.9882718,55.79859262,127,0.431774321
9204,237594.4724,114.4482044,13.51701178,755,0.399576053
9205,167091.7083,421.9487584,50.633851,167,0.391965007
9206,83545.85415,421.9487584,50.633851,167,0.391965007
9207,113789.6367,99.46646567,10.86960384,870,0.460400114
9208,135032.3153,297.4280073,35.69136087,363,0.345179038
9209,140134.6478,419.5648138,50.34777765,137,0.282195553
